"District","Ward","Village","Vaccination.Date","Dogs.Vaccinated","Cats.Vaccinated"
"Serengeti","Nyamoko","Nyamoko",2008-07-09,156,1
"Serengeti","Nyansurura","Marasomoche",2008-07-10,173,3
"Serengeti","Nyansurura","Nyansurura",2008-07-10,161,1
"Serengeti","Mugumu","Mugumu",2008-07-16,909,41
"Serengeti","Uwanja wa Ndege","Ngarawani",2009-06-17,489,7
"Serengeti","Machochwe","Nyamakendo",2009-07-02,183,2
"Serengeti","Rigicha","Kitembere",2009-07-13,211,7
"Serengeti","Natta","Kono",2009-07-13,83,4
"Serengeti","Rigicha","Nyankomogo",2009-07-13,135,2
"Serengeti","Issenye","Iharara",2009-07-14,223,7
"Serengeti","Issenye","Nyamasingisi",2009-07-14,221,11
"Serengeti","Rigicha","Wagete",2009-07-14,104,1
"Serengeti","Kisaka","Borenga",2009-07-15,235,1
"Serengeti","Kisaka","Nyiboko",2009-07-15,122,0
"Serengeti","Rigicha","Rigicha",2009-07-15,141,2
"Serengeti","Issenye","Singisi",2009-07-15,269,9
"Serengeti","Kisaka","Buchanchari",2009-07-16,243,0
"Serengeti","Natta","Mbisso",2009-07-16,226,9
"Serengeti","Kisaka","Nyansurumunti",2009-07-16,127,1
"Serengeti","Issenye","Nyiberekera",2009-07-16,292,25
"Serengeti","Busawe","Busawe",2009-07-17,101,2
"Serengeti","Busawe","Gantamome",2009-07-17,156,0
"Serengeti","Natta","Makundusi",2009-07-17,272,6
"Serengeti","Mosongo","Mosongo",2009-07-17,501,0
"Serengeti","Natta","Motukeri",2009-07-17,247,1
"Serengeti","Majimoto","Iseresere",2009-07-20,40,0
"Serengeti","Nyansurura","Merenga",2009-07-20,290,1
"Serengeti","Majimoto","Nyamakobiti",2009-07-20,38,0
"Serengeti","Machochwe","Machochwe",2009-07-21,193,2
"Serengeti","Kenyamonta","Magatini",2009-07-21,232,0
"Serengeti","Majimoto","Majimoto",2009-07-21,178,0
"Serengeti","Mbalibali","Kitunguruma",2009-07-22,114,0
"Serengeti","Mbalibali","Mbalibali",2009-07-22,202,9
"Serengeti","Kenyamonta","Mesaga",2009-07-22,143,0
"Serengeti","Kenyamonta","Nyagasense",2009-07-22,265,3
"Serengeti","Kenyamonta","Kenyamonta",2009-07-24,76,0
"Serengeti","Magange","Masinki",2009-07-24,148,0
"Serengeti","Sedeco","Nyamburi",2009-07-24,274,12
"Serengeti","Magange","Remung'orori",2009-07-25,152,0
"Serengeti","Sedeco","Bonchugu",2009-07-27,370,6
"Serengeti","Kisangura","Kebosongo",2009-07-27,246,9
"Serengeti","Nyamatare","Kemgesi",2009-07-27,129,3
"Serengeti","Magange","Magange",2009-07-27,137,0
"Serengeti","Manchira","Misseke",2009-07-28,114,1
"Serengeti","Ring'wani","Ring'wani",2009-07-28,149,0
"Serengeti","Manchira","Rwamchanga",2009-07-28,259,1
"Serengeti","Manchira","Bwitengi",2009-07-29,116,6
"Serengeti","Morotonga","Morotonga",2009-07-29,324,6
"Serengeti","Ring'wani","Kenyana",2009-07-30,76,0
"Serengeti","Nyambureti","Maburi",2009-07-30,202,3
"Serengeti","Mosongo","Nyamatoke",2009-07-30,138,0
"Serengeti","Ikoma","Park Nyigoti",2009-07-30,92,0
"Serengeti","Ikoma","Robanda",2009-07-30,104,2
"Serengeti","Kebanchebanche","Kebanchebanche",2009-07-31,21,1
"Serengeti","Geitasamo","Kegonga",2009-07-31,68,4
"Serengeti","Geitasamo","Matare",2009-07-31,203,11
"Serengeti","Kyambahi","Nyichoka",2009-07-31,261,11
"Serengeti","Sedeco","Bisarara",2009-08-03,171,4
"Serengeti","Mbalibali","Koreri",2009-08-03,187,6
"Serengeti","Kebanchebanche","Musati",2009-08-03,229,0
"Serengeti","Nyamatare","Nyamatare",2009-08-03,12,0
"Serengeti","Rung'abure","Gesarya",2009-08-04,157,0
"Serengeti","Nyamoko","Masangura",2009-08-04,124,0
"Serengeti","Uwanja wa Ndege","Burunga",2009-08-05,297,3
"Serengeti","Nyamoko","Itununu",2009-08-05,228,6
"Serengeti","Kyambahi","Kyambahi",2009-08-05,129,0
"Serengeti","Rung'abure","Rung'abure",2009-08-05,237,4
"Serengeti","Nyansurura","Marasomoche",2009-08-06,132,0
"Serengeti","Rung'abure","Nyamerama",2009-08-06,202,2
"Serengeti","Nyansurura","Nyansurura",2009-08-06,195,1
"Serengeti","Mugumu","Mugumu",2009-08-07,1127,48
"Serengeti","Nyamoko","Nyamoko",2009-08-07,122,5
"Serengeti","Kisangura","Kibeyo",2009-08-08,190,5
"Serengeti","Kisangura","Kisangura",2009-08-08,175,5
"Serengeti","Nyambureti","Gusuhi",2009-08-30,71,2
"Serengeti","Ring'wani","Nyamitita",2009-09-01,178,11
"Serengeti","Rigicha","Kitembere",2010-06-29,236,9
"Serengeti","Natta","Kono",2010-06-29,94,3
"Serengeti","Issenye","Iharara",2010-06-30,238,5
"Serengeti","Issenye","Nyamasingisi",2010-06-30,234,11
"Serengeti","Issenye","Nyiberekera",2010-07-01,338,33
"Serengeti","Issenye","Singisi",2010-07-01,245,11
"Serengeti","Natta","Kono",2010-07-02,262,15
"Serengeti","Natta","Motukeri",2010-07-02,189,2
"Serengeti","Natta","Makundusi",2010-07-03,259,0
"Serengeti","Kyambahi","Nyichoka",2010-07-05,399,4
"Serengeti","Uwanja wa Ndege","Burunga",2010-07-07,309,10
"Serengeti","Kyambahi","Kyambahi",2010-07-07,147,5
"Serengeti","Mosongo","Mosongo",2010-07-07,495,4
"Serengeti","Manchira","Bwitengi",2010-07-08,161,4
"Serengeti","Morotonga","Morotonga",2010-07-08,362,5
"Serengeti","Ikoma","Park Nyigoti",2010-07-09,147,0
"Serengeti","Ikoma","Robanda",2010-07-09,119,2
"Serengeti","Nyansurura","Marasomoche",2010-07-12,144,1
