"District","Ward","Village","Village.2002","UTM.Easting","UTM.Northing","Biter.ID","ID","Species","Other.species","Owner","Suspect","Rabid","Vaccination","Date.bitten.known","Date.bitten","Date.bitten.uncertainty","Symptoms.started.known","Symptoms.started","Symptoms.started.accuracy","Incubation.period","Incubation.period.units","Infectious.period","Infectious.period.units","Outcome","Action","Lateral.flow.test","Lateral.flow.test.date","Carnivore","Duplicated","month","day"
"Serengeti","Nyambureti","Gusuhi","Gusuhi",647030.751814059,9799992.02411793,0,7274,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2012-03-25,"+/- 7 days","true",2012-04-26,"0",NA,"",11,"Day","Died","Buried","","",TRUE,FALSE,124,3769
"Serengeti","Rung'abure","Gesarya","Gesarya",683581.413089753,9812795.59078237,0,728,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2003-11-05,"+/- 7 days",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,23,674
"Serengeti","Kyambahi","Bokore","Bokore",680482.420681316,9782868.85366473,0,7285,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-04-15,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,124,3758
"Serengeti","Mosongo","Kenokwe","Kenokwe",670267.700631663,9788673.54081153,0,729,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2004-07-08,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,31,920
"Serengeti","Mosongo","Kenokwe","Kenokwe",667929.955945867,9791637.84967954,0,7290,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-05-07,"0",NA,"",7,"Day","Killed","Buried","","",TRUE,FALSE,125,3780
"Serengeti","Mosongo","Kenokwe","Kenokwe",669879.257054527,9796027.51477391,0,7295,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-05-12,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,125,3785
"Serengeti","Mosongo","Kenokwe","Kenokwe",669988.394024422,9798655.46738848,33,730,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2003-06-20,"0","true",2004-02-15,"+/- 28 days",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,26,776
"Serengeti","Machochwe","Machochwe","Machochwe",686107.495972208,9815334.67319252,0,732,"Cat","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2004-05-19,"0",3,"Week",3,"Day","Killed","Not applicable","","",TRUE,FALSE,29,870
"Serengeti","Kisangura","Kisangura","Kisangura",688895.051650419,9795359.11943712,44,75,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2003-06-05,"+/- 7 days","true",2003-07-05,"+/- 7 days",4,"Week",2,"Day","Killed","Not applicable","","",TRUE,FALSE,19,551
"Serengeti","Nyamoko","Kwitete","Kwitete",677438.506262007,9798908.07911561,754,753,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2004-04-01,"0","true",2004-04-05,"0",4,"Day",NA,"","Died","Not applicable","","",TRUE,FALSE,28,826
"Serengeti","Nyamoko","Kwitete","Kwitete",677293.075201909,9799428.60435354,0,754,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2004-04-01,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,28,822
"Serengeti","Nyamoko","Kwitete","Kwitete",675601.906597846,9799549.49301973,754,755,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2004-04-01,"0","true",2004-04-15,"+/- 7 days",1,"Week",4,"Day","Died","Buried","","",TRUE,FALSE,28,836
"Serengeti","Nyamoko","Kwitete","Kwitete",676277.258959831,9798562.06666471,754,756,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2004-04-01,"0","true",2004-04-15,"+/- 7 days",1,"Week",4,"Day","Died","Buried","","",TRUE,FALSE,28,836
"Serengeti","Nyamoko","Kwitete","Kwitete",676865.44633462,9800278.6350206,753,757,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2004-04-05,"0","false",NA,"",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,29,854
"Serengeti","Nyamoko","Masangura","Masangura",674076.174226614,9800906.73667167,782,758,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2004-05-05,"+/- 7 days",NA,"",2,"Day","Killed","Buried","","",TRUE,FALSE,29,856
"Serengeti","Kisangura","Kisangura","Kisangura",693940.691226085,9798668.21232006,0,7759,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-06-25,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,114,3463
"Serengeti","Mugumu","Stendi Kuu","Stendi Kuu",689549.685195746,9796188.26442319,0,7774,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-10-04,"0",NA,"",NA,"","Killed","Not applicable","Positive","",TRUE,FALSE,130,3930
"Serengeti","Nyamoko","Masangura","Masangura",673801.473948198,9800873.59662981,758,780,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2004-05-05,"+/- 7 days","true",2004-05-15,"+/- 7 days",1,"Week",2,"Day","Died","Buried","","",TRUE,FALSE,29,866
"Serengeti","Mosongo","Kenokwe","Kenokwe",665435.978838355,9790352.60470223,782,781,"Domestic dog","","Known","Yes",TRUE,"Vaccinated after bite","true",2004-04-15,"0","true",2004-07-29,"0",105,"Day",2,"Day","Killed","","","",TRUE,FALSE,31,941
"Serengeti","Sedeco","Bonchugu","Bonchugu",698261.880340362,9792499.27514444,0,7815,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-11-01,"0",NA,"",NA,"","Killed","Not applicable","Positive","",TRUE,FALSE,131,3958
