"cellID","Region","District","Ward","WardID","Village","VillageID"
3243,"Mara","Serengeti","Natta",18,"Mbisso",46
3244,"Mara","Serengeti","Natta",18,"Mbisso",46
3245,"Mara","Serengeti","Natta",18,"Mbisso",46
3246,"Mara","Serengeti","Natta",18,"Mbisso",46
3247,"Mara","Serengeti","Natta",18,"Mbisso",46
3248,"Mara","Serengeti","Natta",18,"Mbisso",46
3249,"Mara","Serengeti","Natta",18,"Makundusi",38
3250,"Mara","Serengeti","Natta",18,"Makundusi",38
3251,"Mara","Serengeti","Natta",18,"Makundusi",38
3252,"Mara","Serengeti","Natta",18,"Makundusi",38
3253,"Mara","Serengeti","Natta",18,"Makundusi",38
3254,"Mara","Serengeti","Natta",18,"Makundusi",38
3255,"Mara","Serengeti","Natta",18,"Makundusi",38
3256,"Mara","Serengeti","Natta",18,"Makundusi",38
3257,"Mara","Serengeti","Natta",18,"Makundusi",38
3258,"Mara","Serengeti","Natta",18,"Makundusi",38
3259,"Mara","Serengeti","Natta",18,"Makundusi",38
3260,"Mara","Serengeti","Natta",18,"Makundusi",38
3261,"Mara","Serengeti","Natta",18,"Makundusi",38
3262,"Mara","Serengeti","Natta",18,"Makundusi",38
3263,"Mara","Serengeti","Natta",18,"Makundusi",38
3264,"Mara","Serengeti","Natta",18,"Makundusi",38
3265,"Mara","Serengeti","Natta",18,"Makundusi",38
3266,"Mara","Serengeti","Kyambahi",9,"Nyichoka",75
3267,"Mara","Serengeti","Kyambahi",9,"Nyichoka",75
3268,"Mara","Serengeti","Kyambahi",9,"Bokore",2
3269,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3270,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3271,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3272,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3273,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3274,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3275,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3276,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3277,"Mara","Serengeti","Ikoma",3,"Robanda",81
3278,"Mara","Serengeti","Ikoma",3,"Robanda",81
3279,"Mara","Serengeti","Ikoma",3,"Robanda",81
3280,"Mara","Serengeti","Ikoma",3,"Robanda",81
3281,"Mara","Serengeti","Ikoma",3,"Robanda",81
3282,"Mara","Serengeti","Ikoma",3,"Robanda",81
3283,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3284,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3285,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3286,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3287,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3288,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3289,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3290,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3291,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3292,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3293,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3294,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3295,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3296,"Mara","Serengeti","Issenye",4,"Iharara",13
3297,"Mara","Serengeti","Issenye",4,"Iharara",13
3298,"Mara","Serengeti","Issenye",4,"Iharara",13
3299,"Mara","Serengeti","Issenye",4,"Iharara",13
3300,"Mara","Serengeti","Issenye",4,"Iharara",13
3301,"Mara","Serengeti","Issenye",4,"Iharara",13
3302,"Mara","Serengeti","Issenye",4,"Iharara",13
3303,"Mara","Serengeti","Issenye",4,"Iharara",13
3304,"Mara","Serengeti","Issenye",4,"Iharara",13
3305,"Mara","Serengeti","Issenye",4,"Singisi",84
3306,"Mara","Serengeti","Issenye",4,"Singisi",84
3307,"Mara","Serengeti","Issenye",4,"Singisi",84
3308,"Mara","Serengeti","Natta",18,"Motukeri",53
3309,"Mara","Serengeti","Natta",18,"Motukeri",53
3310,"Mara","Serengeti","Natta",18,"Motukeri",53
3311,"Mara","Serengeti","Natta",18,"Motukeri",53
3312,"Mara","Serengeti","Natta",18,"Mbisso",46
3313,"Mara","Serengeti","Natta",18,"Mbisso",46
3314,"Mara","Serengeti","Natta",18,"Mbisso",46
3315,"Mara","Serengeti","Natta",18,"Makundusi",38
3316,"Mara","Serengeti","Natta",18,"Makundusi",38
3317,"Mara","Serengeti","Natta",18,"Makundusi",38
3318,"Mara","Serengeti","Natta",18,"Makundusi",38
3319,"Mara","Serengeti","Natta",18,"Makundusi",38
3320,"Mara","Serengeti","Natta",18,"Makundusi",38
3321,"Mara","Serengeti","Natta",18,"Makundusi",38
3322,"Mara","Serengeti","Natta",18,"Makundusi",38
3323,"Mara","Serengeti","Natta",18,"Makundusi",38
3324,"Mara","Serengeti","Natta",18,"Makundusi",38
3325,"Mara","Serengeti","Natta",18,"Makundusi",38
3326,"Mara","Serengeti","Natta",18,"Makundusi",38
3327,"Mara","Serengeti","Natta",18,"Makundusi",38
3328,"Mara","Serengeti","Natta",18,"Makundusi",38
3329,"Mara","Serengeti","Natta",18,"Makundusi",38
3330,"Mara","Serengeti","Natta",18,"Makundusi",38
3331,"Mara","Serengeti","Natta",18,"Makundusi",38
3332,"Mara","Serengeti","Natta",18,"Makundusi",38
3333,"Mara","Serengeti","Natta",18,"Makundusi",38
3334,"Mara","Serengeti","Natta",18,"Makundusi",38
3335,"Mara","Serengeti","Natta",18,"Makundusi",38
3336,"Mara","Serengeti","Natta",18,"Makundusi",38
3337,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3338,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3339,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3340,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3341,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3342,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3343,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3344,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3345,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
